epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,47.0581,1.09723,1.0954,1.0917,0.91101,1,0.995,0.59752,1.7798,1.56437,1.30005,0.000229264,0.000229264,0.000229264
46,47.9234,0.95218,1.36843,0.91761,0.97864,1,0.995,0.64654,1.67031,1.36292,1.23446,0.00019838,0.00019838,0.00019838
47,48.7508,1.20942,1.23672,1.039,0.97864,1,0.995,0.64654,1.67031,1.36292,1.23446,0.000165912,0.000165912,0.000165912
48,49.5878,0.90478,1.3067,0.95928,0.97864,1,0.995,0.64654,1.67031,1.36292,1.23446,0.00013186,0.00013186,0.00013186
49,50.412,1.04561,1.39093,1.1522,0.97864,1,0.995,0.64654,1.67031,1.36292,1.23446,9.6224e-05,9.6224e-05,9.6224e-05
50,51.2889,0.94323,1.32173,0.94097,0.98085,1,0.995,0.64654,1.66065,1.30608,1.21933,5.9004e-05,5.9004e-05,5.9004e-05
1,4.70132,0.40788,42.1552,2.45349,0,0,0,0,0.4246,15.8729,2.8084,0,0,0
2,5.59143,0.34388,23.6177,2.31557,0.00167,0.5,0.00135,0.00013,0.44173,14.4207,2.68089,1.9802e-05,1.9802e-05,1.9802e-05
3,6.45139,0.40592,37.9912,2.3904,0.00167,0.5,0.00132,0.00026,0.48095,14.8561,2.4941,3.9208e-05,3.9208e-05,3.9208e-05
4,7.20148,0.405,27.8229,2.66849,0.00167,0.5,0.00205,0.00021,0.46943,14.6759,2.41331,5.8218e-05,5.8218e-05,5.8218e-05
5,7.98298,0.41824,28.4824,2.42072,0.00167,0.5,0.00207,0.00021,0.45739,14.4079,2.36353,7.6832e-05,7.6832e-05,7.6832e-05
6,8.79331,0.42698,27.2881,2.49791,0.00167,0.5,0.00211,0.00042,0.44859,14.1424,2.32054,9.505e-05,9.505e-05,9.505e-05
7,9.66796,0.38075,52.2323,2.43544,0.00167,0.5,0.00211,0.00042,0.4468,14.0741,2.27846,0.000112872,0.000112872,0.000112872
8,10.5384,0.43873,30.2418,2.83163,0.00167,0.5,0.00219,0.00044,0.43906,13.9541,2.25406,0.000130298,0.000130298,0.000130298
9,11.3666,0.40064,27.5432,2.49641,0.00167,0.5,0.00225,0.00045,0.43195,13.7774,2.22601,0.000147328,0.000147328,0.000147328
10,12.1618,0.40279,24.6062,2.4781,0.00167,0.5,0.00229,0.00046,0.43108,13.747,2.21268,0.000163962,0.000163962,0.000163962
11,13.0462,0.43584,25.9111,2.58985,0.00167,0.5,0.00239,0.00072,0.4307,13.546,2.19202,0.0001802,0.0001802,0.0001802
12,14.0921,0.3804,28.3778,2.30379,0.00167,0.5,0.00159,0.00048,0.35308,72.5091,1.91764,0.000196042,0.000196042,0.000196042
13,15.2794,0.34808,18.7273,2.02055,0.00698,0.5,0.0076,0.00372,0.26681,42.1401,1.88036,0.000211488,0.000211488,0.000211488
14,16.3307,0.30741,19.1113,1.92064,0.04716,0.5,0.12418,0.01554,0.36778,24.8655,2.41485,0.000226538,0.000226538,0.000226538
15,17.4318,0.33089,11.1433,2.0648,0.02682,0.5,0.08292,0.00942,0.39702,16.7201,2.62097,0.000241192,0.000241192,0.000241192
16,18.5448,0.28635,11.5782,1.98962,0.03383,0.5,0.0623,0.01642,0.37005,15.4748,2.44599,0.00025545,0.00025545,0.00025545
17,19.5975,0.29427,7.80298,1.81248,0.03145,0.5,0.0385,0.01317,0.33823,11.5737,2.27433,0.000269312,0.000269312,0.000269312
